course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
IS 418,IS,418,"Alvarez, B.",3.90,0.15
IS 418,IS,418,"Knutson, E.",3.84,-0.05
IS 419,IS,419,"LaRue, E.",3.80,0.00
IS 419,IS,419,"Twidale, M.",3.80,0.00
IS 423,IS,423,"Stier, Z.",3.90,0.06
IS 423,IS,423,"Mitchell, A.",3.79,-0.14
IS 429,IS,429,"MacMullen, T.",3.77,
IS 430,IS,430,"Trainor, K.",3.78,0.01
IS 430,IS,430,"Alicea, B.",3.71,-0.09
IS 439,IS,439,"Trainor, K.",3.64,
IS 445,IS,445,"Uhe, A.",3.97,0.21
IS 445,IS,445,"Turk, M.",3.87,0.02
IS 445,IS,445,"Besser, S.",3.85,0.00
IS 445,IS,445,"Naiman, J.",3.84,-0.03
IS 446,IS,446,"Trainor, K.",3.91,
IS 453,IS,453,"Diekman, L.",3.93,
IS 455,IS,455,"Zhang, Y.",3.88,0.19
IS 455,IS,455,"Choi, K.",3.84,0.12
IS 455,IS,455,"Trainor, K.",3.74,-0.06
IS 455,IS,455,"Gan, R.",3.73,-0.08
IS 455,IS,455,"Rahman, N.",3.73,-0.08
IS 455,IS,455,"Rangarajan, A.",3.70,-0.11
IS 457,IS,457,"Naiman, J.",3.95,0.24
IS 457,IS,457,"McDowell, K.",3.84,-0.04
IS 457,IS,457,"Comstock, S.",3.74,-0.30
IS 467,IS,467,"Tibebu, H.",3.92,0.31
IS 467,IS,467,"Darch, P.",3.66,-0.14
IS 471,IS,471,"Wong, M.",3.85,
IS 477,IS,477,"Ludaescher, B.",3.82,0.16
IS 477,IS,477,"Maemura, E.",3.46,-0.45
IS 477,IS,477,"Carboni, N.",3.42,-0.53
IS 491,IS,491,"Dahlen, S.",3.91,
IS 496,IS,496,"Wang, D.",3.81,
IS 496,IS,496,"Huang, Y.",3.57,
IS 497,IS,497,"Weible, J.",3.91,0.02
IS 497,IS,497,"Rangarajan, A.",3.90,-0.02
IS 501,IS,501,"Hensley, M.",3.94,0.20
IS 501,IS,501,"Holba Puacz, J.",3.90,0.09
IS 501,IS,501,"Woodard, B.",3.89,0.06
IS 501,IS,501,"Bisbee, K.",3.89,0.05
IS 501,IS,501,"Wong, M.",3.89,0.04
IS 501,IS,501,"Radcliffe, B.",3.81,-0.16
IS 501,IS,501,"Alvarez, B.",3.78,-0.25
IS 503,IS,503,"Hoiem, E.",3.86,
IS 504,IS,504,"Wong, M.",3.92,
IS 504,IS,504,"Rusch, A.",3.93,0.17
IS 504,IS,504,"Twidale, M.",3.89,0.07
IS 504,IS,504,"Darch, P.",3.75,-0.37
IS 504,IS,504,"Guo, Y.",3.73,-0.44
IS 505,IS,505,"Choi, I.",3.97,0.22
IS 505,IS,505,"Wagner, T.",3.95,0.19
IS 505,IS,505,"Maemura, E.",3.94,0.15
IS 505,IS,505,"Knox, E.",3.93,0.13
IS 505,IS,505,"MacMullen, T.",3.91,0.09
IS 505,IS,505,"Myers, C.",3.91,0.08
IS 505,IS,505,"Giusti Serra, L.",3.90,0.07
IS 505,IS,505,"Alvarez, B.",3.87,0.00
IS 505,IS,505,"Comstock, S.",3.87,-0.01
IS 505,IS,505,"Wickett, K.",3.79,-0.21
IS 505,IS,505,"Bisbee, K.",3.75,-0.29
IS 505,IS,505,"LaRue, E.",3.73,-0.34
