course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 300,ARTH,300,Art Criticism and Writing,3 Hours,"This course introduces students to the history and practice of art criticism and provides them with relevant tools and experiences to craft their own body of art criticism. During the course of the semester, students will analyze and interpret texts of art criticism; analyze formal qualities of works of art and visual culture, and evaluate their meaning and historical significance; write about modern and contemporary art; and assemble an interview with a working artist.",,,,,,
ARTH 310,ARTH,310,African Art and Society I,3 Hours,"Introduces the arts of Black Africa, i.e., dance, drama, songs, and poetry, as expressed in a multi-media framework and a social-religious context; surveys the art styles of the Dogon, Senufo, Mende, and Ashanti peoples.",,,,,,
ARTH 312,ARTH,312,Central African Art,3 Hours,"A one-semester introduction to the arts of central Africa. Sculpture, pottery, architecture, body adornment, contemporary art, and performance will be examined and discussed on the basis of aesthetic, religious, political, and social contexts. Discusses many changes and continuities within African artistic traditions as evidenced in late twentieth-century urban, popular, and political arts of central Africa. We shall also investigate some central African artistic influences found in African American arts. Same as AFST 312.",,,,,,
ARTH 313,ARTH,313,Modern and Contemp African Art,3 Hours,"Examines how multiple ""modernisms"" emerged from African independence movements, and thereby influenced the development of African and African-American art from the 1960s to the present. Same as AFST 313.",,,,,,
ARTH 320,ARTH,320,Sacred Sites in Japan,3 Hours,Same as EALC 320. See EALC 320.,,,,,,
ARTH 342,ARTH,342,Arts of Colonial Latin America,3 Hours,"Introduction to the major art historical, stylistic and iconographic developments of several Latin American countries of the late sixteenth through eighteenth centuries. Themes to be investigate include: the pictorial representation of race; indigenous workshops, traditions, and the birth of European art academies; the constructions of gender; as well as the translation of styles. The course includes field trips to local museums and libraries. Previous introductory level art history or Latin American history course recommended. Same as LAST 342.",,,,,,2.98
ARTH 343,ARTH,343,Arts of Modern Latin America,3 Hours,"This course is an introduction to the major visual materials, monuments, and critical debates of the arts of Latin America, from the 19th to the early 20th century. It studies a wide range of artistic media, including drawings, paintings, popular prints, performance, photography, film, murals, architecture, and urban planning, especially as they pertain to definitions of ""Latin America"". The course pays particular attention to constructions of race and gender in representing the modern nation. Same as LAST 343.",,,,,,3.09
ARTH 344,ARTH,344,Spanish Modern Art,"3 Hours
3 undergraduate hours.","Introduction to the rich visual cultures of Spain beginning with the Bourbon dynasty in the eighteenth century through the early decades of the twentieth century. The course examines a variety of themes: from the mythologized loves of Goya, to the grandeur of canvases recreating Spain's history; from Spanish Romanticism to the rise of vanguard movements and the advent of Pablo Picasso. 3 undergraduate hours. Prerequisite: Previous introductory level art history course recommended, but not required.","Prerequisite: Previous introductory level art history course recommended, but not required.",,,,,
ARTH 345,ARTH,345,Realism to Postimpressionism,3 Hours,"Studies European art from 1850 to 1900, with emphasis on French painting.",,,,,,3.26
ARTH 350,ARTH,350,American Art 1750-1900,3 Hours,"Studies the two major directions of art in the United States from independence to the centennial, with focus on major figures and the scientific and philosophical movements which influenced them. Prerequisite: One year of art history or consent of instructor.",Prerequisite: One year of art history or consent of instructor.,,,,,
ARTH 351,ARTH,351,Early American Modernism,3 Hours,"Examines American art, particularly painting and sculpture, 1876-1940, against its cultural background and the relation of the American artist to Europe in an attempt to isolate the roots of Modernism in the United States. Prerequisite: One year of art history or consent of instructor.",Prerequisite: One year of art history or consent of instructor.,,,,,
ARTH 360,ARTH,360,Women and the Visual Arts,3 Hours,"Explores the complex interconnections of women with the visual arts in Europe and North America from the classical era to the present, including the modes of artistic production and the representation of women in western society. Same as GWS 360.",,,,,,
ARTH 361,ARTH,361,Contemporary Art,3 Hours,"This class investigates the history of contemporary art, examining the key issues, institutions, and events that have shaped how and where contemporary art is made, displayed, encountered, and critiqued. Attention will center on the artistic and political engagements that inform contemporary practices, from the legacies of twentieth century artmaking to the fluctuations of global financial markets to artist responses to topics such as human rights crises and ecological disasters. Readings and discussions will also explore influential cultural centers in today’s global art world, including Beirut, Lagos, New York, and Shanghai. Prerequisite: No prerequisites, but students are encouraged to take ARTH 242 - Modern Art prior to ARTH 361 - Contemporary Art.","Prerequisite: No prerequisites, but students are encouraged to take ARTH 242 - Modern Art prior to ARTH 361 - Contemporary Art.",,,,,3.40
