course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PSYC 363,PSYC,363,Developmental Child Psych Lab,4 Hours,"Provides students with a background in developmental research methodology, such as observational techniques used with children. Students will gain experience collecting data and learn how to write research papers. Prerequisite: PSYC 216 and PSYC 235, or equivalent.","Prerequisite: PSYC 216 and PSYC 235, or equivalent.",,,,,3.31
PSYC 365,PSYC,365,"Stress, Trauma and Resilience",3 Hours,"Provides an overview of traumatic stress, with a particular emphasis on the biological and social factors that shape human responses to trauma. Students will become familiar with the definition and range of potentially traumatic events in various social contexts (e.g. military vs. civilian), as well as the genetic and environmental features that influence vulnerability vs. resilience to trauma. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,
PSYC 379,PSYC,379,Clinical/Abnormal Psych Lab,4 Hours,"Introduction to research methods used in clinical psychology covering research concerned with psychopathology. Students will learn concepts and key terms; read and discuss research reports; and obtain first-hand experience designing, carrying out, and reporting on their own research. Students in the class will be the participants for all student-developed research. Prerequisite: PSYC 238.",Prerequisite: PSYC 238.,,,,,3.26
PSYC 396,PSYC,396,Intermediate Current Topics in Psychology,0 to 3 Hours,"Intermediate treatment of current topics in the field of psychology. May be repeated to a maximum of 6 hours in a semester, to a maximum of 12 hours in subsequent semesters. Prerequisite: PSYC 100 or consent of instructor; particular sections may have additional 200-level prerequisites.",Prerequisite: PSYC 100 or consent of instructor; particular sections may have additional 200-level prerequisites.,,,,,3.45
PSYC 398,PSYC,398,Junior Honors Seminar,3 Hours,Seminar on experimental methods and contemporary psychological research. Prerequisite: Junior standing and admission to departmental honors program.,Prerequisite: Junior standing and admission to departmental honors program.,,,,,
PSYC 402,PSYC,402,Intro Clin Neuropsych,"4 Hours
4 undergraduate hours. 4 graduate hours.","Fundamental concepts of clinical neuropsychology will be introduced, and students will learn the neuropsychological measures that are typically employed in assessment. The course will take a developmental perspective, and readings will address assessment issues in children and adolescents as well as adults. The course will be conducted as a lecture/seminar, with a focus on class participation. Actual testing data will be distributed to the class, and discussion will focus on interpretation and case conceptualization. Students will also be required to learn about and administer tests. 4 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 210 and PSYC 238 or consent of instructor.",Prerequisite: PSYC 210 and PSYC 238 or consent of instructor.,,,,,3.66
PSYC 403,PSYC,403,Memory and Amnesia,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Examination of the nature of amnesia and what it teaches us about the organization of normal human memory. Coverage will include studies of amnesia and other circumscribed memory impairments in human patients, taken from the scientific literature, which will be compared to the descriptions of amnesia in movies, literature, and the media. Same as NEUR 403. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 210 and/or PSYC 224, or consent of instructor.","Prerequisite: PSYC 210 and/or PSYC 224, or consent of instructor.",,,,,3.63
PSYC 404,PSYC,404,Cognitive Neuroscience,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Examination of research concerned with identifying and characterizing the cognitive systems supporting such capacities as memory, attention, and visual processing, and with understanding how such cognitive activities arise from the functioning of specific brain modules and brain mechanisms. Same as NEUR 405. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 210 and/or PSYC 224, or consent of instructor.","Prerequisite: PSYC 210 and/or PSYC 224, or consent of instructor.",,,,,3.52
PSYC 405,PSYC,405,Game Development in the Context of Educational and Psychological Research,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","A hands-on introduction to creating research studies using Unity game development software. Students will identify a foundational study in educational or psychological research and learn to use Unity software to recreate that protocol. Students are NOT expected to have any experience with programming or Unity. This course is ideal for students interested in pursuing an advanced degree in psychology, advanced cognitive and behavioral methods that leverage cutting-edge technology, or those looking for an introduction into game development. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 235 or equivalent; or Consent of Instructor.",Prerequisite: PSYC 235 or equivalent; or Consent of Instructor.,,,,,
PSYC 408,PSYC,408,Human Behavior Genetics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Human behavior is the result of many factors, including the independent and interactive effects of biological and social influences. The goals of this course are to understand how the basic principles of genetics can be used in the study of behavior in humans; evaluate the extent to which psychological characteristics are affected by genes; and consider the implications of genetic knowledge in psychology. Students will learn to evaluate evidence for and against genetic influences and gain an appreciation of the interrelationships of biological and social causes of behavior. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.51
