course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ENGL 275,ENGL,275,Am Indian and Indigenous Film,3 Hours,Same as AIS 275 and MACS 275. See AIS 275.,,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
ENGL 276,ENGL,276,Asian Film Genres,3 Hours,"Studies a variable selection of popular film genres produced and circulated in Asia (e.g., martial arts, horror, musicals, anime, melodramas, science fiction, monster movies, comedy) that have an impact across the region, with emphasis on East and Southeast Asia, and beyond. Takes a historical and transnational comparative approach to analyzing shifting narrative and visual and other cinematic realizations of each genre across different contexts, including Western reception and cross-cultural adaptations. Same as CWL 276 and EALC 276.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
ENGL 277,ENGL,277,Gender in Gaming,3 Hours,"Same as GSD 204, GWS 204 and MACS 204. See GSD 204.",,,,,,
ENGL 280,ENGL,280,Women Writers,3 Hours,[IAI Code: H3911D] Study of British and American women authors. Same as GWS 280. May be repeated with permission of English advising office to a maximum of 6 hours if topics vary. Prerequisite: Completion of the Composition I requirement.,Prerequisite: Completion of the Composition I requirement.,,,,,
ENGL 281,ENGL,281,Women in the Literary Imagination,3 Hours,"[IAI Code: H3911D] Study of the way writers of all genders have portrayed women's images, social roles, and psychologies in British, American, or Anglophone literatures. Same as GWS 281. May be repeated in separate semesters to a maximum of 6 hours if topics vary; with permission from English advising office. Prerequisite: Completion of the Composition I requirement.",Prerequisite: Completion of the Composition I requirement.,,,,,
ENGL 284,ENGL,284,Modern Jewish Literature,3 Hours,"Same as CWL 284, JS 284, and REL 284. See JS 284.",,,,,,
ENGL 285,ENGL,285,Postcolonial Literature in English,3 Hours,"Examination of selected postcolonial literature, theory, and film as texts that ""write back"" to dominant European representations of power, identity, gender and the Other. Postcolonial writers, critics and filmmakers studied may include Franz Fanon, Edward Said, Aime Cesaire, Ousmane Sembene, Chinua Achebe, Michelle Cliff, Mahesweta Devi, Buchi Emecheta, Derek Walcott and Marlene Nourbese-Philip. Prerequisite: Completion of the Composition I requirement.",Prerequisite: Completion of the Composition I requirement.,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
ENGL 286,ENGL,286,Asian American Literature,3 Hours,"Introduction to Asian American literary studies and culture through the reading of major works of literature selected from but not limited to the following American ethnic subgroups: Chinese, Filipino, Japanese, Korean, Indian, Pakistani, and Vietnamese. Same as AAS 286. Prerequisite: Completion of the Composition I requirement.",Prerequisite: Completion of the Composition I requirement.,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
ENGL 290,ENGL,290,Individual Study,0 to 3 Hours,Study of selected topics. Approved for both letter and S/U grading. May be repeated to a maximum of 6 hours. Students may register in more than one section per term. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ENGL 301,ENGL,301,Introduction to Critical Theory,3 Hours,"Introduction to the critical frameworks and methods that have had the greatest impact on the field of literary studies. Students will read, discuss, and write about numerous theoretical approaches, which might include (but are not limited to) critical race studies, environmental theory, feminism, Marxism, postcolonialism, poststructuralism, psychoanalysis, queer theory, and structuralism. No previous background with theory is required. Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor. Restricted to English majors.",Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor.,,,,,
