course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 254,CWL,254,Grimm's Fairy Tales in Context,3 Hours,Same as ENGL 266 and GER 251. See GER 251.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 255,CWL,255,Renaissance Literature and Culture,3 Hours,Same as ENGL 204. See ENGL 204.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 257,CWL,257,Enlightenment Literature and Culture,3 Hours,Same as ENGL 206. See ENGL 206.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 259,CWL,259,Early African American Literature and Culture,3 Hours,Same as AFRO 259 and ENGL 259. See ENGL 259.,,,Cultural Studies - US Minority,,,
CWL 260,CWL,260,Modern African American Literature and Culture,3 Hours,Same as AFRO 260 and ENGL 260. See ENGL 260.,,,Cultural Studies - US Minority,,,
CWL 262,CWL,262,Gender & Sexuality in Greco-Roman Antiquity,3 Hours,Same as CLCV 240 and GWS 240. See CLCV 240.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 263,CWL,263,Odysseus and Other Heroes,3 Hours,Same as CLCV 221. See CLCV 221.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 267,CWL,267,The Short Story,3 Hours,Same as ENGL 245. See ENGL 245.,,,Humanities - Lit & Arts,,,
CWL 271,CWL,271,The Holocaust in Context - ACP,3 Hours,Same as ENGL 268 and GER 260. See GER 260.,,,,,,
CWL 272,CWL,272,Sexuality and Literature,3 Hours,Same as GER 270 and GWS 270. See GER 270.,,,Humanities - Lit & Arts,,,
CWL 273,CWL,273,The Holocaust in Context,3 Hours,"Same as ENGL 269, GER 261, and JS 261. See GER 261.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
