course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
RUSS 260,RUSS,260,Medicine & Literature,3 Hours,"Examines cultural significance of medicine and the figure of the physician, and understandings of illness and health, primarily in literature of Russia and the USSR. Asks what larger issues are at stake in the literary representation of medical practice by physicians and non-physicians alike in the Russian and Soviet contexts, and investigates what medicine and literature offer each other. Considers how medical practice is conditioned by the broader culture and is conditioned by other discursive spheres.",,,Humanities - Lit & Arts,,,,"[RUSS 260 Medicine & Literature credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/260>)

Examines cultural significance of medicine and the figure of the physician, and understandings of illness and health, primarily in literature of Russia and the USSR. Asks what larger issues are at stake in the literary representation of medical practice by physicians and non-physicians alike in the Russian and Soviet contexts, and investigates what medicine and literature offer each other. Considers how medical practice is conditioned by the broader culture and is conditioned by other discursive spheres.
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 261,RUSS,261,Introduction to Jewish Culture in the Russian Empire,3 Hours,"Introduction to the interaction of the intellectual, artistic, political, social, and religious life of the Jewish community in Russia through film, literature, art and historical record. Same as HIST 261.",,,,,,,"[RUSS 261 Introduction to Jewish Culture in the Russian Empire credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/261>)

Introduction to the interaction of the intellectual, artistic, political, social, and religious life of the Jewish community in Russia through film, literature, art and historical record. Same as [HIST 261](<https://catalog.illinois.edu/search/?P=HIST%20261>).",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 290,RUSS,290,Readings in Russian,1 to 4 Hours,Individual topics or projects chosen in consultation with a Slavic Department representative. May be repeated to a maximum of 8 hours. Prerequisite: RUSS 202 or equivalent proficiency.,Prerequisite: RUSS 202 or equivalent proficiency.,,,,,,"[RUSS 290 Readings in Russian credit: 1 to 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/290>)

Individual topics or projects chosen in consultation with a Slavic Department representative. May be repeated to a maximum of 8 hours. Prerequisite: [RUSS 202](<https://catalog.illinois.edu/search/?P=RUSS%20202>) or equivalent proficiency.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 301,RUSS,301,Third Year Russian I,3 Hours,Grammar review; training in writing Russian; translation from English and free composition. Prerequisite: RUSS 202 or consent of instructor.,Prerequisite: RUSS 202 or consent of instructor.,,,,,,"[RUSS 301 Third Year Russian I credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/301>)

Grammar review; training in writing Russian; translation from English and free composition. Prerequisite: [RUSS 202](<https://catalog.illinois.edu/search/?P=RUSS%20202>) or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 302,RUSS,302,Third Year Russian II,3 Hours,"Practice in intermediate-level speaking, listening, reading, and writing, based upon advanced grammar and conversation topics and upon readings from current fiction and non-fiction. Students are expected to write essays and give oral reports based on in-class assignments and outside Interests. Prerequisite: RUSS 301 or consent of department.",Prerequisite: RUSS 301 or consent of department.,,,,,,"[RUSS 302 Third Year Russian II credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/302>)

Practice in intermediate-level speaking, listening, reading, and writing, based upon advanced grammar and conversation topics and upon readings from current fiction and non-fiction. Students are expected to write essays and give oral reports based on in-class assignments and outside Interests. Prerequisite: [RUSS 301](<https://catalog.illinois.edu/search/?P=RUSS%20301>) or consent of department.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 320,RUSS,320,Major Writers,3 Hours,"Focused study of the work of a single writer, or the comparison of that writer with another major author, in translation. No Russian required. Same as CWL 321. May be repeated in separate terms to a maximum of 6 hours, if topics vary. Prerequisite: At least one other college literature course or consent of instructor.",Prerequisite: At least one other college literature course or consent of instructor.,,,,,,"[RUSS 320 Major Writers credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/320>)

Focused study of the work of a single writer, or the comparison of that writer with another major author, in translation. No Russian required. Same as [CWL 321](<https://catalog.illinois.edu/search/?P=CWL%20321>). May be repeated in separate terms to a maximum of 6 hours, if topics vary. Prerequisite: At least one other college literature course or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 322,RUSS,322,Dostoevsky,3 Hours,Introduction to the major works of Fyodor Mikhailovich Dostoevsky. No Russian required. Same as CWL 324 and ENGL 322. May be repeated up to 6 credit hours in separate terms. Prerequisite: At least one other college literature course or consent of instructor.,Prerequisite: At least one other college literature course or consent of instructor.,,,,,,"[RUSS 322 Dostoevsky credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/322>)

Introduction to the major works of Fyodor Mikhailovich Dostoevsky. No Russian required. Same as [CWL 324](<https://catalog.illinois.edu/search/?P=CWL%20324>) and [ENGL 322](<https://catalog.illinois.edu/search/?P=ENGL%20322>). May be repeated up to 6 credit hours in separate terms. Prerequisite: At least one other college literature course or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 323,RUSS,323,Tolstoy,3 Hours,"Introduction to the major works of Lev Tolstoy. No Russian required. Same as CWL 323 and ENGL 323. May be repeated up to 6 credit hours in separate terms, if topics vary. Prerequisite: One other college literature course or consent of instructor.",Prerequisite: One other college literature course or consent of instructor.,,,,,,"[RUSS 323 Tolstoy credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/323>)

Introduction to the major works of Lev Tolstoy. No Russian required. Same as [CWL 323](<https://catalog.illinois.edu/search/?P=CWL%20323>) and [ENGL 323](<https://catalog.illinois.edu/search/?P=ENGL%20323>). May be repeated up to 6 credit hours in separate terms, if topics vary. Prerequisite: One other college literature course or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 335,RUSS,335,Nabokov,3 Hours,"Nabokov' s Russian and American novels read in a comparative context. All works in English, no knowledge of Russian is required. Same as CWL 335. Prerequisite: At least one other college-level literature course or consent of instructor.",Prerequisite: At least one other college-level literature course or consent of instructor.,,,,,,"[RUSS 335 Nabokov credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/335>)

Nabokov' s Russian and American novels read in a comparative context. All works in English, no knowledge of Russian is required. Same as [CWL 335](<https://catalog.illinois.edu/search/?P=CWL%20335>). Prerequisite: At least one other college-level literature course or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 401,RUSS,401,Fourth Year Russian I,"3 Hours
3 undergraduate hours. 3 graduate hours.","Practice in advanced speaking, listening, reading, and writing, based upon reading selected from current fiction and non- fiction, and covering a wide variety of styles: literary, conversational, scientific, etc. Course taught in Russian. Students are expected to write essays and give oral reports based on what they read in class and on their outside interests. 3 undergraduate hours. 3 graduate hours. Prerequisite: Three years of college Russian or consent of instructor.",Prerequisite: Three years of college Russian or consent of instructor.,,,,,,"[RUSS 401 Fourth Year Russian I credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/401>)

Practice in advanced speaking, listening, reading, and writing, based upon reading selected from current fiction and non- fiction, and covering a wide variety of styles: literary, conversational, scientific, etc. Course taught in Russian. Students are expected to write essays and give oral reports based on what they read in class and on their outside interests. 3 undergraduate hours. 3 graduate hours. Prerequisite: Three years of college Russian or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 402,RUSS,402,Fourth Year Russian II,"3 Hours
3 undergraduate hours. 3 graduate hours.","Practice in advanced speaking, listening, reading, and writing, based upon reading selected from current fiction and non- fiction, and covering a wide variety of styles: literary, conversational, scientific, etc. Course taught in Russian. Students are expected to write essays and give oral reports based on what they read in class and on their outside interests. 3 undergraduate hours. 3 graduate hours. Prerequisite: RUSS 401 or consent of instructor.",Prerequisite: RUSS 401 or consent of instructor.,,,,,,"[RUSS 402 Fourth Year Russian II credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/402>)

Practice in advanced speaking, listening, reading, and writing, based upon reading selected from current fiction and non- fiction, and covering a wide variety of styles: literary, conversational, scientific, etc. Course taught in Russian. Students are expected to write essays and give oral reports based on what they read in class and on their outside interests. 3 undergraduate hours. 3 graduate hours. Prerequisite: [RUSS 401](<https://catalog.illinois.edu/search/?P=RUSS%20401>) or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 418,RUSS,418,18th Century Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Reading of texts; historical and literary background of the period. 3 undergraduate hours. 4 graduate hours.,,,,,,,"[RUSS 418 18th Century Literature credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/418>)

Reading of texts; historical and literary background of the period. 3 undergraduate hours. 4 graduate hours.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 424,RUSS,424,Modernism,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Representative works of the period 1880 to 1917, with emphasis on Chekhov, Gorky, and Blok; readings for non-majors and class discussions in English. Same as CWL 457. 3 undergraduate hours. 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,,"[RUSS 424 Modernism credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/424>)

Representative works of the period 1880 to 1917, with emphasis on Chekhov, Gorky, and Blok; readings for non-majors and class discussions in English. Same as [CWL 457](<https://catalog.illinois.edu/search/?P=CWL%20457>). 3 undergraduate hours. 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 460,RUSS,460,Russian Culture Studies,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Role of Russian literature in the social, political, and intellectual life of Russia from the 1840s to the present. Same as CWL 440. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing.",Prerequisite: Junior standing.,,,,,,"[RUSS 460 Russian Culture Studies credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/460>)

Role of Russian literature in the social, political, and intellectual life of Russia from the 1840s to the present. Same as [CWL 440](<https://catalog.illinois.edu/search/?P=CWL%20440>). 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 461,RUSS,461,Russia and the Other,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Interdisciplinary and comparative topics including, but not limited to: Russia and the West, Russia and the East, the Cold War, and post-Soviet cultural studies. Same as CWL 466. 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Russian course at the 200 or 300 level or consent of instructor.",Prerequisite: Russian course at the 200 or 300 level or consent of instructor.,,,,,,"[RUSS 461 Russia and the Other credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/461>)

Interdisciplinary and comparative topics including, but not limited to: Russia and the West, Russia and the East, the Cold War, and post-Soviet cultural studies. Same as [CWL 466](<https://catalog.illinois.edu/search/?P=CWL%20466>). 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Russian course at the 200 or 300 level or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 465,RUSS,465,Jewish Culture in the Russian Empire,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Study of Jewish cultural, social, and political life through literature and film. No Russian required. 3 undergraduate hours. 4 graduate hours. Prerequisite: One literature course in the Slavic department at the 200 or 300 level, or consent of instructor.","Prerequisite: One literature course in the Slavic department at the 200 or 300 level, or consent of instructor.",,,,,,"[RUSS 465 Jewish Culture in the Russian Empire credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/465>)

Study of Jewish cultural, social, and political life through literature and film. No Russian required. 3 undergraduate hours. 4 graduate hours. Prerequisite: One literature course in the Slavic department at the 200 or 300 level, or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 493,RUSS,493,Honors Senior Thesis,"2 Hours
2 undergraduate hours. No graduate credit.",Intended primarily for candidates for honors in Russian but open to other seniors. 2 undergraduate hours. No graduate credit. May be repeated. Prerequisite: Senior standing.,Prerequisite: Senior standing.,No graduate credit.,,,,,"[RUSS 493 Honors Senior Thesis credit: 2 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/493>)

Intended primarily for candidates for honors in Russian but open to other seniors. 2 undergraduate hours. No graduate credit. May be repeated. Prerequisite: Senior standing.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
